lat,lon
38.8255,-122.796
61.5034,-140.424
16.571,-98.297
38.826,-122.854
35.421,-118.717
38.8263,-122.803
63.8993,-149.546
-5.845,147.748
35.0417,-117.68
36.7125,-121.354
64.9895,-147.375
38.8278,-122.757
32.6012,-115.714
-23.19,-66.687
60.8808,-149.98
38.8227,-122.796
62.393,-152.391
38.8303,-122.838
38.8262,-122.784
33.3273,-116.412
38.8375,-122.774
34.0057,-118.831
38.8373,-122.775
33.2392,-115.549
34.1092,-116.723
61.0391,-152.551
62.7433,-143.233
38.8082,-122.793
61.0029,-151.231
38.8098,-122.806
38.766,-122.731
0.969,101.483
36.496,71.287
63.3864,-145.401
37.4795,-118.846
34.0388,-117.249
66.7401,-146.524
63.5309,-151.115
38.7558,-122.729
61.0911,-152.216
38.8155,-122.802
38.8247,-122.806
38.8195,-122.797
19.3417,-155.388
61.1391,-147.417
35.6788,-117.694
33.7022,-116.748
33.4997,-115.834
64.4675,-146.832
63.5156,-150.961
32.5305,-115.701
-23.63,179.273
36.6982,-121.304
51.517,-174.23
33.3528,-116.353
33.691,-119.136
32.7403,-115.859
10.412,-63.202
63.0127,-150.914
33.3517,-116.348
38.8092,-122.79
60.5282,-149.321
38.7762,-122.747
39.079,43.776
60.5398,-149.304
38.792,-122.781
63.5339,-147.39
34.0585,-117.255
35.437,-96.574
38.8243,-122.804
36.0552,-117.702
33.7052,-116.743
35.5621,-84.3863
33.8377,-116.191
63.5653,-147.686
5.408,94.532
33.2272,-116.76
32.2983,-115.408
63.0661,-149.925
61.6903,-149.836
38.81,-122.817
38.8057,-122.824
38.8047,-122.819
38.8082,-122.817
61.5495,-148.125
38.8217,-122.785
38.8335,-122.806
61.3962,-146.651
38.827,-122.831
63.1263,-148.793
38.7727,-122.742
38.8312,-122.809
63.5057,-151.276
38.812,-122.819
38.8322,-122.808
36.0333,-117.515
33.6975,-116.797
38.8287,-122.806
62.2416,-145.661
38.5632,-122.452
-20.18,-175.025
19.0153,-155.365
38.8195,-122.799
12.625,-90.345
63.0629,-150.506
37.5363,-118.865
37.0488,-121.496
63.5512,-150.989
62.4308,-151.594
36.959,-121.593
38.8397,-122.819
33.6432,-116.692
38.7857,-122.77
38.8397,-122.845
62.9845,-151.615
38.8095,-122.828
64.158,-147.993
61.3218,-151.636
38.8347,-122.799
37.3282,-122.103
63.2667,-151.083
61.5613,-148.16
61.9422,-147.941
14.155,-92.374
63.9872,-148.736
34.2208,-117.679
38.8162,-122.816
38.8388,-122.84
-18.545,168.114
34.0222,-116.423
63.9541,-148.618
61.2537,-148.698
64.8944,-147.13
34.283,-116.952
37.774,134.195
38.8408,-122.829
33.3382,-116.24
34.447,73.563
-35.267,-72.089
12.246,144.113
62.7886,-143.394
18.9408,-155.478
12.344,144.127
36.3127,-120.889
37.1487,-121.538
63.5465,-147.487
38.8232,-122.81
38.8135,-122.81
36.0207,-120.58
38.811,-122.788
38.8415,-122.838
35.9788,-117.901
35.7195,-121.104
60.6398,-152.692
51.3609,-173.957
38.8095,-122.792
38.8125,-122.779
38.8337,-122.775
38.809,-122.791
38.8077,-122.793
32.2063,-115.28
38.8203,-122.784
60.0089,-152.987
63.4367,-150.842
33.363,-116.433
38.8137,-122.819
51.4762,-174.107
61.056,-152.31
38.843,-122.834
33.858,-116.155
38.7705,-122.718
38.8088,-122.791
36.3543,-121.429
38.8112,-122.794
35.0831,-80.3417
38.7572,-122.764
63.5146,-146.054
38.8308,-122.772
38.833,-122.772
33.858,-116.155
38.7572,-122.729
59.9778,-153.282
38.8073,-122.796
38.8108,-122.794
32.9915,-115.534
32.9908,-115.54
63.2577,-151.101
61.6886,-147.247
33.3922,-116.373
37.841,-122.009
32.9933,-115.533
20.243,122.44
38.8203,-122.824
33.8575,-116.156
38.13,23.74
38.8157,-122.817
38.958,-122.689
59.6849,-152.656
37.6552,-118.935
38.8292,-122.808
-23.058,-69.058
-19.916,-174.109
38.8372,-122.804
33.3785,-116.853
25.605,126.59
37.945,142.528
19.0953,-69.0105
33.377,-116.848
19.4243,-155.323
61.7095,-149.181
38.7563,-122.733
63.0222,-148.266
38.8378,-122.776
38.8373,-122.809
63.5329,-151.127
33.8607,-116.161
33.8572,-116.156
33.8572,-116.159
35.3074,-92.0607
35.3053,-92.0665
32.5695,-115.686
63.5108,-151.344
38.7409,-119.586
60.01,-140.542
-35.191,-14.877
33.8592,-116.162
37.112,140.958
41.645,-124.547
33.8547,-116.162
19.4065,-155.28
37.3305,-121.696
61.4212,-151.945
33.5878,-116.806
63.457,-151.352
38.8178,-122.811
64.2431,-149.859
62.4274,-148.497
